Wall time,Step,Value
1553655955.1437612,42,0.3828125
1553655955.2431374,45,0.46875
1553655956.065281,71,0.40625
1553655956.8137584,94,0.4296875
1553655959.1924024,167,0.515625
1553655961.188757,229,0.546875
1553655961.3463912,234,0.5234375
1553655962.0126858,255,0.5078125
1553655962.57792,273,0.46875
1553655963.693997,308,0.5625
1553655963.764299,310,0.53125
1553655964.0177426,318,0.53125
1553655969.314418,474,0.5078125
1553655971.4006438,536,0.5546875
1553655973.7303596,579,0.4375
1553655974.1793215,586,0.5859375
1553655977.463715,634,0.53125
1553655978.3598814,647,0.5
1553655979.9981205,671,0.53125
1553655982.954226,714,0.6015625
1553655983.506013,722,0.546875
1553655987.934898,785,0.5234375
1553655989.2091117,802,0.5078125
1553655989.8121254,808,0.5390625
1553655992.7210078,836,0.5859375
1553656008.6332757,971,0.4375
1553656014.5288186,1014,0.515625
1553656021.7338114,1066,0.5546875
1553656026.9889123,1104,0.59375
1553656037.4094503,1180,0.5703125
1553656048.4921856,1261,0.5703125
1553656056.096719,1316,0.53125
1553656056.504249,1319,0.5078125
1553656058.461854,1333,0.5625
1553656059.0050352,1337,0.5078125
1553656065.6011853,1385,0.5390625
1553656066.5247443,1392,0.5390625
1553656072.7339008,1436,0.5625
1553656076.887297,1466,0.46875
1553656084.7507718,1523,0.4921875
1553656088.7507737,1552,0.5703125
1553656090.9457927,1568,0.40625
1553656093.1816347,1584,0.5625
1553656107.802017,1691,0.5625
1553656113.7672715,1734,0.453125
1553656114.1783977,1737,0.5625
1553656128.8094442,1844,0.4765625
1553656131.7326276,1866,0.5546875
1553656133.375541,1877,0.5390625
1553656138.9075043,1917,0.5703125
1553656141.2442706,1934,0.53125
1553656143.0582452,1947,0.5625
1553656155.2452276,2036,0.546875
1553656163.5001838,2096,0.5703125
1553656175.9946234,2187,0.5390625
1553656177.6444929,2199,0.546875
1553656181.9924512,2231,0.46875
1553656182.8219604,2237,0.578125
1553656186.2705522,2262,0.53125
1553656192.4613073,2307,0.5
1553656203.8816555,2389,0.5625
1553656210.3671613,2436,0.515625
1553656212.7220821,2453,0.5390625
1553656212.9959805,2455,0.546875
1553656213.6929789,2460,0.6171875
1553656217.1813657,2485,0.5546875
1553656217.3224006,2486,0.546875
1553656218.9730897,2498,0.5703125
1553656219.6762936,2503,0.546875
1553656223.6828134,2532,0.5390625
1553656225.729357,2547,0.546875
1553656226.5748658,2553,0.5859375
1553656244.6438174,2685,0.5390625
1553656252.2510126,2740,0.515625
1553656283.655016,2967,0.546875
1553656293.3753994,3038,0.5078125
1553656293.8097653,3041,0.59375
1553656301.7511067,3099,0.5390625
1553656310.3486416,3161,0.53125
1553656319.855212,3230,0.4765625
1553656321.756164,3244,0.546875
1553656322.0196881,3246,0.515625
1553656322.1593819,3247,0.53125
1553656330.2337315,3305,0.5546875
1553656354.2298815,3480,0.625
1553656373.1438546,3618,0.46875
1553656373.4191644,3620,0.5390625
1553656380.318,3670,0.5859375
1553656390.0484486,3741,0.5234375
1553656397.3646047,3793,0.609375
1553656400.216023,3814,0.5234375
1553656401.1927707,3821,0.515625
1553656415.8501222,3928,0.5625
1553656419.7134807,3956,0.625
1553656423.560461,3984,0.53125
1553656430.7132015,4036,0.5234375
1553656439.2992287,4098,0.5859375
1553656452.7346754,4196,0.6015625
1553656457.165547,4227,0.53125
1553656457.8466413,4232,0.6015625
1553656469.5342536,4317,0.5703125
1553656469.81167,4319,0.453125
1553656480.8819208,4400,0.5390625
1553656493.5929284,4492,0.546875
1553656495.934793,4509,0.5859375
1553656498.8200338,4530,0.6015625
1553656517.2308428,4664,0.6484375
1553656517.7681386,4668,0.5
1553656518.8739953,4676,0.5546875
1553656534.3491957,4788,0.5625
1553656536.247816,4802,0.59375
1553656541.5372167,4840,0.5546875
1553656543.2042143,4852,0.5390625
1553656549.015513,4894,0.59375
1553656559.624887,4971,0.578125
1553656570.526779,5050,0.6015625
1553656570.7982852,5052,0.6328125
1553656578.2345722,5106,0.5703125
1553656582.0223808,5134,0.5234375
1553656596.431825,5239,0.5234375
1553656611.0705714,5345,0.6015625
1553656613.0145588,5359,0.484375
1553656621.4654708,5420,0.53125
1553656639.3000817,5549,0.546875
1553656657.182581,5679,0.5625
1553656663.2625203,5723,0.578125
1553656674.945412,5808,0.578125
1553656677.6771874,5828,0.6171875
1553656682.602822,5864,0.4765625
1553656683.572841,5871,0.6171875
1553656688.499727,5907,0.59375
1553656691.4386945,5928,0.5859375
1553656699.9901776,5990,0.546875
1553656702.6832187,6010,0.625
1553656718.1011922,6121,0.5625
1553656719.5010138,6131,0.5546875
1553656729.0092838,6200,0.609375
1553656730.79909,6213,0.5703125
1553656731.6268094,6219,0.578125
1553656733.4319549,6232,0.6171875
1553656741.252512,6289,0.640625
1553656744.4174836,6312,0.6796875
1553656753.306203,6376,0.6328125
1553656773.075522,6520,0.59375
1553656780.5319247,6574,0.6171875
1553656784.5015235,6603,0.625
1553656791.9630082,6657,0.5859375
1553656797.3256981,6696,0.6171875
1553656797.7488394,6699,0.578125
1553656799.3806288,6711,0.6015625
1553656803.643081,6742,0.5390625
1553656819.0487928,6854,0.6015625
1553656834.449518,6966,0.6015625
1553656837.9682484,6992,0.640625
1553656840.953799,7014,0.6015625
1553656853.7742603,7106,0.609375
1553656854.8898864,7114,0.6015625
1553656860.5434153,7155,0.578125
1553656873.1607046,7247,0.6015625
1553656881.9421525,7311,0.53125
1553656888.645273,7359,0.625
1553656891.7874904,7382,0.5625
1553656894.440392,7401,0.6171875
1553656901.1425953,7450,0.625
1553656902.5074754,7460,0.6640625
1553656902.8756583,7463,0.5859375
1553656904.9075499,7478,0.609375
1553656909.6337306,7511,0.6015625
1553656933.8066955,7687,0.65625
1553656934.6252682,7693,0.515625
1553656943.8798556,7760,0.59375
1553656947.7170072,7788,0.53125
1553656949.0891669,7798,0.5859375
1553656953.941194,7833,0.59375
1553656975.8866997,7991,0.625
1553656980.7343018,8026,0.5859375
1553656986.241729,8066,0.6015625
1553657001.8918562,8180,0.53125
1553657007.5565302,8221,0.6171875
1553657023.058424,8334,0.6640625
1553657027.081968,8363,0.5859375
1553657027.7648482,8368,0.6484375
1553657028.9808104,8377,0.578125
1553657041.4468493,8467,0.578125
1553657041.8614774,8470,0.6796875
